"nuSSU","nuLSU","AbdA","Wg","LR","COI","EF1aF1","EF1aF2","ArgK","CAD","Top1","Ubx","Taxon","Genus","Tribe","Subfamily","Family","NCBI.ID","NCBITaxon","Order","Genus_Richness","SampledProp","Diet","Nesting","Foraging","DietMod","NestingMod","ForagingMod","DietModslashboth","DietModslashlower","DietModslashupper","DietModalllower","DietModallupper","DietModanyplant","DietModonlyplant","ForagingModalllower","ForagingModallupper","ForagingModanycanopy","NestingModalllower","NestingModallupper","NestingModanycanopy","DietModonlypred","DietModanypred","DietModonlyomni","DietModanyomni","ForagingModanyground","NestingModanyground"
"KJ860245","KJ860057","KJ861332","KJ861945","KJ861516","NA","KJ860674","KJ859869","KJ861142","KJ860911","KJ861753","KJ860482","Ankylomyrma_coronacantha","Ankylomyrma","Ankylomyrma","Agroecomyrmecinae","Formicidae","603033","Ankylomyrma_coronacantha","Hymenoptera","Ankylomyrma",1,"?","1","0&1","?","1","0&1","?","?","?","?","?","?","?","0","1","1","1","1","1","?","?","?","?","1","0"
"KJ860247","KJ860059","DQ352903","KJ861947","KJ861518","DQ353314","KJ860676","KJ859871","KJ861148","KJ860917","KJ861759","KJ860488","Tatuidris_tatusia","Tatuidris","Tatuidris","Agroecomyrmecinae","Formicidae","369239","Tatuidris_tatusia","Hymenoptera","Tatuidris",1,"2","0","1","2","0","1","2","2","2","2","2","0","0","1","1","1","0","0","0","1","1","0","0","0","1"
"NA","NA","KU672023","KU671552","KU671501","NA","NA","NA","KU671603","NA","KU671666","KU671729","Adetomyrma_bressleri","Adetomyrma","Adetomyrma","Amblyoponinae","Formicidae","1859171","Adetomyrma_bressleri","Hymenoptera","Stigmatomma_sl",0.27,"2","0","0","2","0","0","2","2","2","2","2","0","0","0","0","0","0","0","0","1","1","0","0","1","1"
"NA","NA","KR063364","KP280012","NA","NA","NA","NA","KU671604","NA","KU671667","KU671730","Adetomyrma_caputleae","Adetomyrma","Adetomyrma","Amblyoponinae","Formicidae","1639816","Adetomyrma_caputleae","Hymenoptera","Stigmatomma_sl",0.27,"2","0","0","2","0","0","2","2","2","2","2","0","0","0","0","0","0","0","0","1","1","0","0","1","1"
"KJ860244","KJ860056","KJ861331","AY233595","KJ861515","NA","KJ860673","KJ859868","KJ861141","KJ860910","KJ861752","KJ860481","Amblyopone_australis","Amblyopone","Amblyopone","Amblyoponinae","Formicidae","219765","Amblyopone_australis","Hymenoptera","Amblyopone",0.2,"2","0","0","2","0","0","2","2","2","2","2","0","0","0","0","0","0","0","0","1","1","0","0","1","1"
"NA","NA","KU672024","KU671553","KU671502","NA","NA","NA","KU671605","NA","KU671668","KU671731","Amblyopone_longidens","Amblyopone","Amblyopone","Amblyoponinae","Formicidae","602427","Amblyopone_longidens","Hymenoptera","Amblyopone",0.2,"2","0","0","2","0","0","2","2","2","2","2","0","0","0","0","0","0","0","0","1","1","0","0","1","1"
"EF012839","EF012967","EF013095","EF013675","EF013547","DQ353377","EF013228","EF013390","KU671608","NA","KU671671","KU671734","Apomyrma_stygia","Apomyrma","Apomyrma","Amblyoponinae","Formicidae","237768","Apomyrma_stygia","Hymenoptera","Apomyrma",1,"2","0","0","2","0","0","2","2","2","2","2","0","0","0","0","0","0","0","0","1","1","0","0","1","1"
"NA","NA","KU672035","KU671564","KU671513","NA","NA","NA","KU671621","NA","KU671684","KU671747","Fulakora_armigera","Fulakora","Fulakora","Amblyoponinae","Formicidae","602397","Stigmatomma_armigerum","Hymenoptera","Fulakora",0.24,"2","0","0","2","0","0","2","2","2","2","2","0","0","0","0","0","0","0","0","1","1","0","0","1","1"
"NA","NA","KU672041","KU671570","KU671519","NA","NA","NA","KU671627","NA","KU671690","KU671753","Fulakora_cleae","Fulakora","Fulakora","Amblyoponinae","Formicidae","602406","Stigmatomma_cleae","Hymenoptera","Fulakora",0.24,"2","0","0","2","0","0","2","2","2","2","2","0","0","0","0","0","0","0","0","1","1","0","0","1","1"
"NA","AY325927","KU672044","KU671573","KU671522","NA","NA","NA","KU671630","NA","KU671693","KU671756","Fulakora_elongata","Fulakora","Fulakora","Amblyoponinae","Formicidae","237673","Stigmatomma_elongatum","Hymenoptera","Fulakora",0.24,"2","0","0","2","0","0","2","2","2","2","2","0","0","0","0","0","0","0","0","1","1","0","0","1","1"
"NA","NA","KU672032","KU671561","KU671510","NA","NA","NA","NA","NA","KU671680","KU671743","Fulakora_minima","Fulakora","Fulakora","Amblyoponinae","Formicidae","613852","Paraprionopelta_minima","Hymenoptera","Fulakora",0.24,"2","0","0","2","0","0","2","2","2","2","2","0","0","0","0","0","0","0","0","1","1","0","0","1","1"
"NA","NA","KU672054","KU671583","KU671532","NA","NA","NA","KU671640","NA","KU671703","KU671766","Fulakora_mystriops","Fulakora","Fulakora","Amblyoponinae","Formicidae","602435","Stigmatomma_mystriops","Hymenoptera","Fulakora",0.24,"2","0","0","2","0","0","2","2","2","2","2","0","0","0","0","0","0","0","0","1","1","0","0","1","1"
"NA","NA","KU672056","KU671585","KU671534","NA","NA","NA","KU671642","NA","KU671705","KU671768","Fulakora_saundersi","Fulakora","Fulakora","Amblyoponinae","Formicidae","602452","Stigmatomma_saundersi","Hymenoptera","Fulakora",0.24,"2","0","0","2","0","0","2","2","2","2","2","0","0","0","0","0","0","0","0","1","1","0","0","1","1"
"NA","AY325929","DQ352964","KU671557","KU671506","DQ353381","NA","NA","KU671611","NA","KU671674","KU671737","Myopopone_castanea","Myopopone","Myopopone","Amblyoponinae","Formicidae","237740","Myopopone_castanea","Hymenoptera","Stigmatomma_sl",0.27,"2","0","0","2","0","0","2","2","2","2","2","0","0","0","0","0","0","0","0","1","1","0","0","1","1"
"NA","NA","KR063359","KM579242","KM597300","NA","NA","NA","NA","NA","NA","NA","Mystrium_barrybressleri","Mystrium","Mystrium","Amblyoponinae","Formicidae","1639817","Mystrium_barrybressleri","Hymenoptera","Stigmatomma_sl",0.27,"2","0","0","2","0","0","2","2","2","2","2","0","0","0","0","0","0","0","0","1","1","0","0","1","1"
"NA","NA","KU672029","KU671558","KU671507","NA","NA","NA","KU671612","NA","KU671675","KU671738","Mystrium_camillae","Mystrium","Mystrium","Amblyoponinae","Formicidae","613017","Mystrium_camillae","Hymenoptera","Stigmatomma_sl",0.27,"2","0","0","2","0","0","2","2","2","2","2","0","0","0","0","0","0","0","0","1","1","0","0","1","1"
"NA","NA","KU361295","KM579243","KM597301","NA","NA","NA","NA","NA","NA","NA","Mystrium_janovitzi","Mystrium","Mystrium","Amblyoponinae","Formicidae","1674329","Mystrium_janovitzi","Hymenoptera","Stigmatomma_sl",0.27,"2","0","0","2","0","0","2","2","2","2","2","0","0","0","0","0","0","0","0","1","1","0","0","1","1"
"NA","NA","KR063366","KM579244","KM597302","NA","NA","NA","NA","NA","NA","NA","Mystrium_mirror","Mystrium","Mystrium","Amblyoponinae","Formicidae","1639818","Mystrium_mirror","Hymenoptera","Stigmatomma_sl",0.27,"2","0","0","2","0","0","2","2","2","2","2","0","0","0","0","0","0","0","0","1","1","0","0","1","1"
"EF012894","EF013022","EF013150","KM579245","KM597303","DQ176275","EF013301","EF013463","KU671613","JX310603","KU671676","KU671739","Mystrium_mysticum","Mystrium","Mystrium","Amblyoponinae","Formicidae","373792","Mystrium_mysticum","Hymenoptera","Stigmatomma_sl",0.27,"2","0","0","2","0","0","2","2","2","2","2","0","0","0","0","0","0","0","0","1","1","0","0","1","1"
"NA","NA","KR063360","KM579246","KM597304","NA","NA","NA","NA","NA","NA","NA","Mystrium_oberthueri","Mystrium","Mystrium","Amblyoponinae","Formicidae","613021","Mystrium_oberthueri","Hymenoptera","Stigmatomma_sl",0.27,"2","0","0","2","0","0","2","2","2","2","2","0","0","0","0","0","0","0","0","1","1","0","0","1","1"
"NA","AY325935","DQ352965","KM579247","KM597305","DQ353298","NA","NA","NA","NA","NA","NA","Mystrium_rogeri","Mystrium","Mystrium","Amblyoponinae","Formicidae","237746","Mystrium_rogeri","Hymenoptera","Stigmatomma_sl",0.27,"2","0","0","2","0","0","2","2","2","2","2","0","0","0","0","0","0","0","0","1","1","0","0","1","1"
"NA","NA","KR063374","KP280023","NA","NA","NA","NA","NA","NA","NA","NA","Mystrium_shadow","Mystrium","Mystrium","Amblyoponinae","Formicidae","1639819","Mystrium_shadow","Hymenoptera","Stigmatomma_sl",0.27,"2","0","0","2","0","0","2","2","2","2","2","0","0","0","0","0","0","0","0","1","1","0","0","1","1"
"NA","AY325933","KR063375","KM579248","KM597306","NA","NA","NA","NA","NA","NA","NA","Mystrium_voeltzkowi","Mystrium","Mystrium","Amblyoponinae","Formicidae","237744","Mystrium_voeltzkowi","Hymenoptera","Stigmatomma_sl",0.27,"2","0","0","2","0","0","2","2","2","2","2","0","0","0","0","0","0","0","0","1","1","0","0","1","1"
"EF012901","EF013029","DQ352933","DQ353135","EF013609","NA","EF013310","EF013472","KU671615","NA","KU671678","KU671741","Onychomyrmex_hedleyi","Onychomyrmex","Onychomyrmex","Amblyoponinae","Formicidae","237750","Onychomyrmex_hedleyi","Hymenoptera","Onychomyrmex",0.25,"2","0","0","2","0","0","2","2","2","2","2","0","0","0","0","0","0","0","0","1","1","0","0","1","1"
"NA","NA","KU672033","KU671562","KU671511","NA","NA","NA","KU671618","NA","KU671681","KU671744","Prionopelta_amabilis","Prionopelta","Prionopelta","Amblyoponinae","Formicidae","621482","Prionopelta_amabilis","Hymenoptera","Prionopelta",0.14,"2","0","0","2","0","0","2","2","2","2","2","0","0","0","0","0","0","0","0","1","1","0","0","1","1"
"EF012855","EF012983","DQ352894","DQ353136","EF013563","DQ353277","EF013248","EF013410","KU671610","NA","KU671673","KU671736","Prionopelta_concenta","Prionopelta","Prionopelta","Amblyoponinae","Formicidae","237752","Concoctio_concenta","Hymenoptera","Prionopelta",0.14,"2","0","0","2","0","0","2","2","2","2","2","0","0","0","0","0","0","0","0","1","1","0","0","1","1"
"NA","NA","NA","NA","NA","NA","NA","NA","KU671619","NA","KU671682","KU671745","Prionopelta_subtilis","Prionopelta","Prionopelta","Amblyoponinae","Formicidae","1859175","Prionopelta_subtilis","Hymenoptera","Prionopelta",0.14,"2","0","0","2","0","0","2","2","2","2","2","0","0","0","0","0","0","0","0","1","1","0","0","1","1"
"NA","NA","KU672036","KU671565","KU671514","NA","NA","NA","KU671622","NA","KU671685","KU671748","Stigmatomma_bellii","Stigmatomma","Stigmatomma","Amblyoponinae","Formicidae","602398","Stigmatomma_bellii","Hymenoptera","Stigmatomma_sl",0.27,"2","0","0","2","0","0","2","2","2","2","2","0","0","0","0","0","0","0","0","1","1","0","0","1","1"
"NA","NA","KU672037","KU671566","KU671515","NA","NA","NA","KU671623","NA","KU671686","KU671749","Stigmatomma_boltoni","Stigmatomma","Stigmatomma","Amblyoponinae","Formicidae","1851820","Stigmatomma_boltoni","Hymenoptera","Stigmatomma_sl",0.27,"2","0","0","2","0","0","2","2","2","2","2","0","0","0","0","0","0","0","0","1","1","0","0","1","1"
"NA","NA","KU672043","KU671572","KU671521","NA","NA","NA","KU671629","NA","KU671692","KU671755","Stigmatomma_denticulatum","Stigmatomma","Stigmatomma","Amblyoponinae","Formicidae","602409","Stigmatomma_denticulatum","Hymenoptera","Stigmatomma_sl",0.27,"2","0","0","2","0","0","2","2","2","2","2","0","0","0","0","0","0","0","0","1","1","0","0","1","1"
"NA","AY325916","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Stigmatomma_oregonense","Stigmatomma","Stigmatomma","Amblyoponinae","Formicidae","602440","Stigmatomma_oregonense","Hymenoptera","Stigmatomma_sl",0.27,"2","0","0","2","0","0","2","2","2","2","2","0","0","0","0","0","0","0","0","1","1","0","0","1","1"
