"","Taxon","NestingModallupper"
"Opamyrma_hungvuong","Opamyrma_hungvuong","1"
"Leptanilla_CASENT0106505","Leptanilla_CASENT0106505","1"
"Protanilla_CASENT0007002","Protanilla_CASENT0007002","1"
"Anomalomyrma_boltoni","Anomalomyrma_boltoni","1"
"Martialis_heureka","Martialis_heureka","1"
"Proceratium_stictum","Proceratium_stictum","2"
"Discothyrea_testacea","Discothyrea_testacea","1"
"Probolomyrmex_tani","Probolomyrmex_tani","1"
"Apomyrma_stygia","Apomyrma_stygia","1"
"Onychomyrmex_hedleyi","Onychomyrmex_hedleyi","1"
"Amblyopone_longidens","Amblyopone_longidens","1"
"Prionopelta_subtilis","Prionopelta_subtilis","1"
"Prionopelta_concenta","Prionopelta_concenta","1"
"Prionopelta_amabilis","Prionopelta_amabilis","1"
"Fulakora_mystriops","Fulakora_mystriops","1"
"Fulakora_minima","Fulakora_minima","1"
"Fulakora_saundersi","Fulakora_saundersi","1"
"Fulakora_elongata","Fulakora_elongata","1"
"Fulakora_armigera","Fulakora_armigera","1"
"Fulakora_cleae","Fulakora_cleae","1"
"Myopopone_castanea","Myopopone_castanea","1"
"Stigmatomma_silvestrii","Stigmatomma_silvestrii","1"
"Stigmatomma_denticulatum","Stigmatomma_denticulatum","1"
"Stigmatomma_scrobiceps","Stigmatomma_scrobiceps","1"
"Adetomyrma_caputleae","Adetomyrma_caputleae","1"
"Adetomyrma_bressleri","Adetomyrma_bressleri","1"
"Stigmatomma_boltoni","Stigmatomma_boltoni","1"
"Stigmatomma_oregonense","Stigmatomma_oregonense","1"
"Stigmatomma_pallipes","Stigmatomma_pallipes","1"
"Xymmer_muticus","Xymmer_muticus","1"
"Mystrium_camillae","Mystrium_camillae","1"
"Mystrium_mysticum","Mystrium_mysticum","1"
"Mystrium_rogeri","Mystrium_rogeri","1"
"Mystrium_barrybressleri","Mystrium_barrybressleri","1"
"Mystrium_shadow","Mystrium_shadow","1"
"Mystrium_janovitzi","Mystrium_janovitzi","1"
"Mystrium_oberthueri","Mystrium_oberthueri","1"
"Mystrium_voeltzkowi","Mystrium_voeltzkowi","1"
"Mystrium_mirror","Mystrium_mirror","1"
"Paraponera_clavata","Paraponera_clavata","2"
"Ankylomyrma_coronacantha","Ankylomyrma_coronacantha","2"
"Tatuidris_tatusia","Tatuidris_tatusia","1"
"Platythyrea_bicuspis","Platythyrea_bicuspis","2"
"Platythyrea_quadridenta","Platythyrea_quadridenta","2"
"Platythyrea_prizo","Platythyrea_prizo","2"
"Platythyrea_turneri","Platythyrea_turneri","2"
"Platythyrea_mocquerysi","Platythyrea_mocquerysi","2"
"Platythyrea_lamellosa","Platythyrea_lamellosa","2"
"Platythyrea_conradti","Platythyrea_conradti","2"
"Platythyrea_arthuri","Platythyrea_arthuri","2"
"Platythyrea_punctata","Platythyrea_punctata","2"
"Platythyrea_angusta","Platythyrea_angusta","2"
"Platythyrea_pilosula","Platythyrea_pilosula","2"
"Diacamma_rugosum","Diacamma_rugosum","1"
"Emeryopone_buttelreepeni","Emeryopone_buttelreepeni","1"
"Cryptopone_gilva","Cryptopone_gilva","1"
"Austroponera_castanea","Austroponera_castanea","1"
"Ponera_exotica","Ponera_exotica","1"
"Ponera_pennsylvanica","Ponera_pennsylvanica","1"
"Thaumatomyrmex_atrox","Thaumatomyrmex_atrox","1"
"Mayaponera_constricta","Mayaponera_constricta","1"
"Dinoponera_gigantea","Dinoponera_gigantea","1"
"Dinoponera_australis","Dinoponera_australis","1"
"Pachycondyla_harpax","Pachycondyla_harpax","1"
"Pachycondyla_impressa","Pachycondyla_impressa","1"
"Pachycondyla_crassinoda","Pachycondyla_crassinoda","1"
"Neoponera_villosa","Neoponera_villosa","2"
"Neoponera_apicalis","Neoponera_apicalis","2"
"Neoponera_unidentata","Neoponera_unidentata","2"
"Neoponera_carinulata","Neoponera_carinulata","2"
"Neoponera_fauveli","Neoponera_fauveli","2"
"Neoponera_aenescens","Neoponera_aenescens","2"
"Neoponera_marginata","Neoponera_marginata","2"
"Neoponera_commutata","Neoponera_commutata","2"
"Hypoponera_indigens","Hypoponera_indigens","1"
"Hypoponera_johannae","Hypoponera_johannae","1"
"Hypoponera_ludovicae","Hypoponera_ludovicae","1"
"Hypoponera_parva","Hypoponera_parva","1"
"Hypoponera_sakalava","Hypoponera_sakalava","1"
"Hypoponera_inexorata","Hypoponera_inexorata","1"
"Hypoponera_opacior","Hypoponera_opacior","1"
"Harpegnathos_saltator","Harpegnathos_saltator","1"
"Harpegnathos_venator","Harpegnathos_venator","1"
"Centromyrmex_brachycola","Centromyrmex_brachycola","1"
"Centromyrmex_sellaris","Centromyrmex_sellaris","1"
"Psalidomyrmex_procerus","Psalidomyrmex_procerus","1"
"Loboponera_politula","Loboponera_politula","1"
"Plectroctena_minor","Plectroctena_minor","1"
"Plectroctena_mandibularis","Plectroctena_mandibularis","1"
"Plectroctena_ugandensis","Plectroctena_ugandensis","1"
"Myopias_tenuis","Myopias_tenuis","1"
"Leptogenys_iridescens","Leptogenys_iridescens","1"
"Leptogenys_crassicornis","Leptogenys_crassicornis","1"
"Leptogenys_acutirostris","Leptogenys_acutirostris","1"
